date,Price,Open,High,Low,Vol.,Change %,Close,Return_t,Return_next,Direction_next,Return_t-1,Return_t-2,ticker,category,title,description,impact_sign,impact_label,event_count,event_today,close,return,r_t_minus_1,r_t_minus_2,r_t_plus_1,y_next_up,volume,news_count,lex_hits_docs,has_news,has_lex_hits,simple_mean,simple_sum,simple_max,simple_min,simple_std,score_mean,score_sum,score_max,score_min,score_std,sum_pos_total,sum_neg_total,n_pos_total,n_neg_total,avg_coverage
2025-02-25,5.91,5.85,5.91,5.83,374.43K,1.03%,5.91,0.01020417,-0.001693481,0,0.00686109,-0.01537178,,,,,0,neutral,0,0,5.91,0.01020417,0.00686109,-0.01537178,-0.001693481,0,374.43K,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-26,5.9,5.91,5.91,5.85,373.53K,-0.17%,5.9,-0.001693481,0.005071862,1,0.01020417,0.00686109,,,,,0,neutral,0,0,5.9,-0.001693481,0.01020417,0.00686109,0.005071862,1,373.53K,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-27,5.93,5.88,5.94,5.86,104.28K,0.51%,5.93,0.005071862,-0.005071862,0,-0.001693481,0.01020417,,,,,0,neutral,0,0,5.93,0.005071862,-0.001693481,0.01020417,-0.005071862,0,104.28K,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-28,5.9,5.96,6.0,5.9,443.61K,-0.51%,5.9,-0.005071862,0.003384098,1,0.005071862,-0.001693481,,,,,0,neutral,0,0,5.9,-0.005071862,0.005071862,-0.001693481,0.003384098,1,443.61K,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-03,5.92,5.9,5.97,5.87,152.88K,0.34%,5.92,0.003384098,-0.020478531,0,-0.005071862,0.005071862,,,,,0,neutral,0,0,5.92,0.003384098,-0.005071862,0.005071862,-0.020478531,0,152.88K,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-04,5.8,5.92,5.94,5.8,342.97K,-2.03%,5.8,-0.020478531,0.010291686,1,0.003384098,-0.005071862,,,,,0,neutral,0,0,5.8,-0.020478531,0.003384098,-0.005071862,0.010291686,1,342.97K,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-05,5.86,5.84,5.9,5.82,258.37K,1.03%,5.86,0.010291686,0.010186845,1,-0.020478531,0.003384098,,,,,0,neutral,0,0,5.86,0.010291686,-0.020478531,0.003384098,0.010186845,1,258.37K,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-06,5.92,5.86,5.93,5.86,568.70K,1.02%,5.92,0.010186845,0.0,0,0.010291686,-0.020478531,,,,,0,neutral,0,0,5.92,0.010186845,0.010291686,-0.020478531,0.0,0,568.70K,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-07,5.92,5.89,5.95,5.89,125.46K,0.00%,5.92,0.0,-0.006779687,0,0.010186845,0.010291686,,,,,0,neutral,0,0,5.92,0.0,0.010186845,0.010291686,-0.006779687,0,125.46K,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-10,5.88,5.9,5.96,5.85,832.12K,-0.68%,5.88,-0.006779687,0.016863806,1,0.0,0.010186845,,,,,0,neutral,0,0,5.88,-0.006779687,0.0,0.010186845,0.016863806,1,832.12K,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-11,5.98,5.92,5.98,5.84,518.70K,1.70%,5.98,0.016863806,-0.008396355,0,-0.006779687,0.0,,,,,0,neutral,0,0,5.98,0.016863806,-0.006779687,0.0,-0.008396355,0,518.70K,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-12,5.93,5.95,5.96,5.9,281.55K,-0.84%,5.93,-0.008396355,0.005046268,1,0.016863806,-0.006779687,,,,,0,neutral,0,0,5.93,-0.008396355,0.016863806,-0.006779687,0.005046268,1,281.55K,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-13,5.96,5.95,5.97,5.9,212.79K,0.51%,5.96,0.005046268,-0.001679262,0,-0.008396355,0.016863806,,,,,0,neutral,0,0,5.96,0.005046268,-0.008396355,0.016863806,-0.001679262,0,212.79K,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-14,5.95,5.96,5.97,5.95,1.28M,-0.17%,5.95,-0.001679262,0.001679262,1,0.005046268,-0.008396355,,,,,0,neutral,0,0,5.95,-0.001679262,0.005046268,-0.008396355,0.001679262,1,1.28M,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-17,5.96,5.95,5.97,5.91,760.87K,0.17%,5.96,0.001679262,-0.00842465,0,-0.001679262,0.005046268,,,,,0,neutral,0,0,5.96,0.001679262,-0.001679262,0.005046268,-0.00842465,0,760.87K,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-18,5.91,5.93,5.94,5.86,414.02K,-0.84%,5.91,-0.00842465,0.0,0,0.001679262,-0.001679262,,,,,0,neutral,0,0,5.91,-0.00842465,0.001679262,-0.001679262,0.0,0,414.02K,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-19,5.91,5.9,5.94,5.86,148.96K,0.00%,5.91,0.0,0.003378382,1,-0.00842465,0.001679262,SNG.RO,project_Iernut,Extra technical services for Iernut CCGT project,Board approves an addendum that increases the contract value for extra GE technical services.,1,positive,1,1,5.91,0.0,-0.00842465,0.001679262,0.003378382,1,148.96K,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-20,5.93,5.9,5.93,5.89,113.09K,0.34%,5.93,0.003378382,-0.003378382,0,0.0,-0.00842465,,,,,0,neutral,0,0,5.93,0.003378382,0.0,-0.00842465,-0.003378382,0,113.09K,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-21,5.91,5.94,5.94,5.9,324.69K,-0.34%,5.91,-0.003378382,0.010101096,1,0.003378382,0.0,,,,,0,neutral,0,0,5.91,-0.003378382,0.003378382,0.0,0.010101096,1,324.69K,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-24,5.97,5.91,5.97,5.9,1.03M,1.02%,5.97,0.010101096,0.0,0,-0.003378382,0.003378382,,,,,0,neutral,0,0,5.97,0.010101096,-0.003378382,0.003378382,0.0,0,1.03M,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-25,5.97,5.95,5.98,5.93,213.54K,0.00%,5.97,0.0,0.010000083,1,0.010101096,-0.003378382,SNG.RO,project_NeptunDeep,Start of drilling in Neptun Deep,OMV Petrom and Romgaz announce the start of drilling for Pelican Sud and Domino gas fields.,1,positive,1,1,5.97,0.0,0.010101096,-0.003378382,0.010000083,1,213.54K,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-26,6.03,5.97,6.07,5.93,689.01K,1.01%,6.03,0.010000083,0.001657001,1,0.0,0.010101096,,,,,0,neutral,0,0,6.03,0.010000083,0.0,0.010101096,0.001657001,1,689.01K,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-27,6.04,6.03,6.07,6.01,172.83K,0.17%,6.04,0.001657001,0.0,0,0.010000083,0.0,,,,,0,neutral,0,0,6.04,0.001657001,0.010000083,0.0,0.0,0,172.83K,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-28,6.04,6.0,6.04,5.98,5.55M,0.00%,6.04,0.0,-0.006644543,0,0.001657001,0.010000083,,,,,0,neutral,0,0,6.04,0.0,0.001657001,0.010000083,-0.006644543,0,5.55M,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,6.0,6.01,6.04,5.97,1.23M,-0.66%,6.0,-0.006644543,0.001665279,1,0.0,0.001657001,,,,,0,neutral,0,0,6.0,-0.006644543,0.0,0.001657001,0.001665279,1,1.23M,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-01,6.01,6.0,6.04,5.98,1.25M,0.17%,6.01,0.001665279,0.0,0,-0.006644543,0.0,,,,,0,neutral,0,0,6.01,0.001665279,-0.006644543,0.0,0.0,0,1.25M,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-02,6.01,6.01,6.02,6.0,540.44K,0.00%,6.01,0.0,-0.001665279,0,0.001665279,-0.006644543,,,,,0,neutral,0,0,6.01,0.0,0.001665279,-0.006644543,-0.001665279,0,540.44K,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-03,6.0,5.98,6.02,5.95,510.02K,-0.17%,6.0,-0.001665279,-0.023609866,0,0.0,0.001665279,,,,,0,neutral,0,0,6.0,-0.001665279,0.0,0.001665279,-0.023609866,0,510.02K,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-04,5.86,5.98,5.99,5.85,1.34M,-2.33%,5.86,-0.023609866,-0.027683429,0,-0.001665279,0.0,,,,,0,neutral,0,0,5.86,-0.023609866,-0.001665279,0.0,-0.027683429,0,1.34M,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-07,5.7,5.75,5.78,5.5,881.86K,-2.73%,5.7,-0.027683429,0.039558038,1,-0.023609866,-0.001665279,,,,,0,neutral,0,0,5.7,-0.027683429,-0.023609866,-0.001665279,0.039558038,1,881.86K,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-08,5.93,5.8,5.93,5.76,719.81K,4.04%,5.93,0.039558038,-0.044835095,0,-0.027683429,-0.023609866,,,,,0,neutral,0,0,5.93,0.039558038,-0.027683429,-0.023609866,-0.044835095,0,719.81K,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-09,5.67,5.87,5.88,5.67,440.00K,-4.38%,5.67,-0.044835095,0.031252544,1,0.039558038,-0.027683429,,,,,0,neutral,0,0,5.67,-0.044835095,0.039558038,-0.027683429,0.031252544,1,440.00K,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-10,5.85,5.95,5.96,5.85,269.28K,3.17%,5.85,0.031252544,0.01020417,1,-0.044835095,0.039558038,,,,,0,neutral,0,0,5.85,0.031252544,-0.044835095,0.039558038,0.01020417,1,269.28K,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-11,5.91,5.85,5.95,5.83,471.42K,1.03%,5.91,0.01020417,0.011774737,1,0.031252544,-0.044835095,,,,,0,neutral,0,0,5.91,0.01020417,0.031252544,-0.044835095,0.011774737,1,471.42K,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-14,5.98,5.95,6.0,5.92,300.16K,1.18%,5.98,0.011774737,0.0,0,0.01020417,0.031252544,SNG.RO,AGM_governance,AGM approves 2025 budget and board changes,"AGM approves the 2025 budget, revokes two board members and appoints two provisional members.",0,neutral,1,1,5.98,0.011774737,0.01020417,0.031252544,0.0,0,300.16K,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-15,5.98,5.98,5.99,5.97,248.77K,0.00%,5.98,0.0,-0.003350087,0,0.011774737,0.01020417,,,,,0,neutral,0,0,5.98,0.0,0.011774737,0.01020417,-0.003350087,0,248.77K,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-16,5.96,5.98,5.98,5.93,136.28K,-0.33%,5.96,-0.003350087,0.0,0,0.0,0.011774737,SNG.RO,governance,New Board chair and committees,Board appoints Dumitru Chisăliță as chair and updates advisory committees.,0,neutral,1,1,5.96,-0.003350087,0.0,0.011774737,0.0,0,136.28K,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-17,5.96,5.96,5.98,5.92,296.41K,0.00%,5.96,0.0,0.003350087,1,-0.003350087,0.0,,,,,0,neutral,0,0,5.96,0.0,-0.003350087,0.0,0.003350087,1,296.41K,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-22,5.98,5.96,5.98,5.92,467.15K,0.34%,5.98,0.003350087,0.0,0,0.0,-0.003350087,,,,,0,neutral,0,0,5.98,0.003350087,0.0,-0.003350087,0.0,0,467.15K,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-23,5.98,5.98,6.0,5.97,74.27K,0.00%,5.98,0.0,-0.003350087,0,0.003350087,0.0,,,,,0,neutral,0,0,5.98,0.0,0.003350087,0.0,-0.003350087,0,74.27K,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-24,5.96,5.99,6.0,5.95,239.62K,-0.33%,5.96,-0.003350087,0.0,0,0.0,0.003350087,,,,,0,neutral,0,0,5.96,-0.003350087,0.0,0.003350087,0.0,0,239.62K,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-25,5.96,5.97,5.99,5.95,193.55K,0.00%,5.96,0.0,0.001676446,1,-0.003350087,0.0,,,,,0,neutral,0,0,5.96,0.0,-0.003350087,0.0,0.001676446,1,193.55K,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
